"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"151787","AT 2024jgl","12:29:40.458","+11:32:10.38","","","","","","","","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24cvg","PS1 - GPC1","","1","1","","19.6","z-P1","2024-05-23 09:36:23.328","YSE_Bot1","","","",""
"151786","AT 2024jgk","14:17:59.578","+16:44:07.49","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hqd","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","18.004","orange-ATLAS","2024-05-24 09:03:44.640","ATLAS_Bot1","","","",""
"151785","AT 2024jgj","11:41:06.600","+16:23:07.68","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hqc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.475","orange-ATLAS","2024-05-22 07:29:55.680","ATLAS_Bot1","","","",""
"151784","AT 2024jgi","14:49:31.655","+33:32:49.59","","","","","","","","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24cuy","PS1 - GPC1","","1","1","","20.04","i-P1","2024-05-22 11:51:56.160","PS1_Bot1","","","",""
"151783","AT 2024jgh","11:51:02.302","+31:14:14.03","","","","","","","","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24cux","PS1 - GPC1","","1","1","","19.94","i-P1","2024-05-22 08:48:57.312","PS1_Bot1","","","",""
"151782","AT 2024jgg","09:19:56.716","+46:28:14.42","","","","","","","","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24cuw","PS2 - GPC2","","1","1","","20.21","i-P1","2024-05-22 06:39:36.864","PS1_Bot1","","","",""
"151781","AT 2024jgf","13:19:05.344","-37:04:01.86","","","","","","","","","","","","GOTO","GOTO","","GOTO","GOTO24cca","GOTO-S - GOTO-3","","1","1","","17.55","L-GOTO","2024-05-24 09:46:09.984","GOTO_bot","","","",""
"151780","AT 2024jge","11:58:50.290","-01:32:13.07","","","","","","","","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J115850.28-013213.0","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","","1","1","","19.37","BG-q-BlackGem","2024-05-12 01:47:46.000","BlackGEM_Bot1","","","",""
"151779","AT 2024jgd","22:14:11.256","-41:42:07.56","","","","","","","","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J221411.25-414207.5","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","","1","1","","19.81","BG-q-BlackGem","2024-05-12 08:41:35.000","BlackGEM_Bot1","","","",""
"151778","AT 2024jgc","10:23:28.767","-06:07:52.12","","","","","","","","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J102328.76-060752.1","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","","1","1","","19.85","BG-q-BlackGem","2024-05-11 23:57:09.000","BlackGEM_Bot1","","","",""
"151777","AT 2024jgb","23:02:25.142","+50:38:54.95","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hpy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","17.254","orange-ATLAS","2024-05-23 13:58:02.208","ATLAS_Bot1","","","",""
"151776","AT 2024jga","23:36:06.458","+24:03:17.79","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hpv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","17.955","orange-ATLAS","2024-05-23 14:08:45.024","ATLAS_Bot1","","","",""
"151775","AT 2024jfz","07:23:20.198","-73:27:06.31","","","","","","","","","","","","","","","","","JWST - NIRCam","","1","1","","0.003","F115W-JWST","2024-05-11 19:41:45.000","Reynolds","","","",""
"151774","AT 2024jfy","12:48:34.817","+10:52:32.95","","","","","","","","","","","","GOTO","GOTO","","GOTO","GOTO24cbr","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","18.98","L-GOTO","2024-05-23 21:45:55.296","GOTO_bot","","","",""
"151773","AT 2024jfx","10:34:25.949","-27:51:45.35","","","","","","","","","","","","BlackGEM","BlackGEM","","BlackGEM","MLT J103425.94-275145.3","ML1 - MeerLICHT-Cam","","1","1","","20.21","BG-q-BlackGem","2024-05-05 22:11:34.000","BlackGEM_Bot1","","2024TNSTR1622....1S","",""
"151772","AT 2024jfw","15:01:41.010","+11:08:21.54","","","","","","","","","","","","BlackGEM","BlackGEM","","BlackGEM","MLT J150141.00+110821.5","ML1 - MeerLICHT-Cam","","1","1","","20.17","BG-q-BlackGem","2024-05-09 20:06:10.000","BlackGEM_Bot1","","2024TNSTR1623....1S","",""
"151770","AT 2024jfu","00:52:22.748","-26:34:20.48","","","","","","","","","","","","GOTO","GOTO","","GOTO","GOTO24cbc","GOTO-S - GOTO-3","","1","1","","19.31","L-GOTO","2024-05-22 19:39:07.776","GOTO_bot","","2024TNSTR1625....1A","",""
"151769","AT 2024jft","09:59:31.321","-31:23:31.96","","","","","","","","","","","","GOTO","GOTO","","GOTO","GOTO24cbm","GOTO-S - GOTO-3","","1","1","","19.23","L-GOTO","2024-05-23 08:10:28.704","GOTO_bot","","2024TNSTR1627....1K","",""
"151768","AT 2024jfs","07:41:50.533","+14:48:11.08","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hpo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","16.711","orange-ATLAS","2024-05-22 05:55:56.352","ATLAS_Bot1","","2024TNSTR1621....1T","",""
"151767","AT 2024jfr","22:53:32.749","+25:20:52.93","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hpl","ATLAS-MLO - ATLAS-01","","1","1","","18.224","orange-ATLAS","2024-05-22 13:16:44.256","ATLAS_Bot1","","2024TNSTR1621....1T","",""
"151766","AT 2024jfq","00:20:11.118","-03:24:00.82","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hpd","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","18.055","orange-ATLAS","2024-05-22 14:27:40.320","ATLAS_Bot1","","2024TNSTR1621....1T","",""
"151765","AT 2024jfp","23:40:15.088","+04:20:33.18","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hpa","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","17.336","orange-ATLAS","2024-05-22 14:05:51.360","ATLAS_Bot1","","2024TNSTR1621....1T","",""
"151764","AT 2024jfo","09:07:46.221","-34:08:37.25","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hoy","ATLAS-STH - ATLAS-03","","1","1","","18.202","orange-ATLAS","2024-05-21 18:11:32.064","ATLAS_Bot1","","2024TNSTR1621....1T","",""
"151763","AT 2024jfn","10:11:14.964","-35:41:46.66","","","","","","","","","","","","GOTO","GOTO","","GOTO","GOTO24cbk","GOTO-S - GOTO-3","","1","1","","18.64","L-GOTO","2024-05-22 08:15:27.648","GOTO_bot","","2024TNSTR1626....1B","",""
"151762","AT 2024jfm","23:41:43.598","-03:39:31.16","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hnz","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.367","orange-ATLAS","2024-05-22 14:09:06.624","ATLAS_Bot1","","2024TNSTR1621....1T","",""
"151761","AT 2024jfl","00:05:33.815","+03:49:34.84","","","","","","","","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24hnw","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","17.893","orange-ATLAS","2024-05-22 14:10:25.248","ATLAS_Bot1","","2024TNSTR1613....1T","",""
"151760","AT 2024jfk","09:50:10.460","+40:24:47.79","","","","","","","","","","","","ZTF","ZTF","","ZTF","ZTF24aaorhpd","P48 - ZTF-Cam","","1","1","","19.4072","r-ZTF","2024-05-21 07:09:58.176","ZTF_CLU_PUBLIC","","2024TNSTR1618....1D","",""
